
45	G B PANT INSTITUTE OF ENGINEERING AND TECHNOLOGY	Uttarakhand	PAURI GARHWAL	Govt aided	Uttarakhand Technical University, Dehradun	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS AND COMMUNICATIONS ENGINEERING	30-06-2025	60
46	G B PANT INSTITUTE OF ENGINEERING AND TECHNOLOGY	Uttarakhand	PAURI GARHWAL	Govt aided	Uttarakhand Technical University, Dehradun	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
47	GOVT POLYTECHNIC DHENKANAL	Odisha	DHENKANAL	Government	Directorate of Technical Education , Odisha	ENGINEERING AND TECHNOLOGY	DIPLOMA	COMPUTER SCIENCE & ENGINEERING	30-06-2026	40
48	GOVERNMENT POLYTECHNIC FOR WOMEN	Telangana	WARANGAL	Government	State Board of Technical Education and Training, Hyderabad	ENGINEERING AND TECHNOLOGY	DIPLOMA	CIVIL ENGINEERING	30-06-2026	60
49	GOVERNMENT POLYTECHNIC FOR WOMEN	Telangana	WARANGAL	Government	State Board of Technical Education and Training, Hyderabad	ENGINEERING AND TECHNOLOGY	DIPLOMA	ELECTRONICS & COMMUNICATION ENGG	30-06-2026	60
50	SAHYADRI COLLEGE OF ENGINEERING MANAGEMENT	Karnataka	DAKSHINA KANNADA	Private-Self Financing	Visvesvaraya Technological University, Belgaum	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS & COMMUNICATION ENGG	30-06-2026	120
51	VIDYA VIKAS PRATISHTHAN POLYTECHNIC SOLAPUR	Maharashtra	SOLAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	COMPUTER ENGINEERING	30-06-2025	120
52	VIDYA VIKAS PRATISHTHAN POLYTECHNIC SOLAPUR	Maharashtra	SOLAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	ELECTRICAL ENGINEERING	30-06-2025	60
53	VIDYA VIKAS PRATISHTHAN POLYTECHNIC SOLAPUR	Maharashtra	SOLAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	CIVIL ENGINEERING	30-06-2025	60
54	STELLA MARY S COLLEGE OF ENGINEERING	Tamil Nadu	KANYAKUMARI	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2025	120
