,XAVIER INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP
125,MARATHA VIDYA PRASARAK SAMAJ S KARMAVEER ADV BABURAO GANPATRAO THAKARE COLLEGE OF ENGINEERING
126,MARATHA VIDYA PRASARAK SAMAJ S KARMAVEER ADV BABURAO GANPATRAO THAKARE COLLEGE OF ENGINEERING
127,VELAMMAL INSTITUTE OF TECHNOLOGY
128,VELAMMAL INSTITUTE OF TECHNOLOGY
129,VELAMMAL INSTITUTE OF TECHNOLOGY
130,MORADABAD INSTITUTE OF TECHNOLOGY
131,MORADABAD INSTITUTE OF TECHNOLOGY
132,ADHIYAMAAN COLLEGE OF ENGINEERING ENGINEERING TECHNOLOGY
133,MARATHWADA MITRA MANDAL S COLLEGE OF ENGINEERING
134,MARATHWADA MITRA MANDAL S COLLEGE OF ENGINEERING
135,GOA INSTITUTE OF MANAGEMENT
136,GOA INSTITUTE OF MANAGEMENT
137,GOA INSTITUTE OF MANAGEMENT
138,BANGALORE INSTITUTE OF TECHNOLOGY
139,BANGALORE INSTITUTE OF TECHNOLOGY
140,BANGALORE INSTITUTE OF TECHNOLOGY
141,BANGALORE INSTITUTE OF TECHNOLOGY
142,BANGALORE INSTITUTE OF TECHNOLOGY
143,BANGALORE INSTITUTE OF TECHNOLOGY
144,BANGALORE INSTITUTE OF TECHNOLOGY
145,BANGALORE INSTITUTE OF TECHNOLOGY
146,GOVERNAMENT POLYTECHNIC FOR WOMEN
147,GOVERNAMENT POLYTECHNIC FOR WOMEN
148,VEL TECH HIGH TECH DR RANGARAJAN DR SAKUNTHALA ENGINEERING COLLEGE
149,VEL TECH HIGH TECH DR RANGARAJAN DR SAKUNTHALA ENGINEERING COLLEGE
150,VEL TECH HIGH TECH DR RANGARAJAN DR SAKUNTHALA ENGINEERING COLLEGE
151,VEL TECH HIGH TECH DR RANGARAJAN DR SAKUNTHALA ENGINEERING COLLEGE
152,MATOSHRI COLLEGE OF ENGINEERING RESEARCH CENTRE NASHIK
153,MATOSHRI COLLEGE OF ENGINEERING RESEARCH CENTRE NASHIK
154,MATOSHRI COLLEGE OF ENGINEERING RESEARCH CENTRE NASHIK
155,MATOSHRI COLLEGE OF ENGINEERING RESEARCH CENTRE NASHIK
156,MATOSHRI COLLEGE OF ENGINEERING RESEARCH CENTRE NASHIK
157,SVERI S COLLEGE OF ENGINEERING POLYTECHNIC PANDHARPUR
158,SVERI S COLLEGE OF ENGINEERING POLYTECHNIC PANDHARPUR
159,SVERI S COLLEGE OF ENGINEERING POLYTECHNIC PANDHARPUR
160,SVERI S COLLEGE OF ENGINEERING POLYTECHNIC PANDHARPUR
161,SVERI S COLLEGE OF ENGINEERING POLYTECHNIC PANDHARPUR
162,GOVERNMENT COLLEGE OF TECHNOLOGY
163,GOVERNMENT COLLEGE OF TECHNOLOGY
164,GOVERNMENT COLLEGE OF TECHNOLOGY
165,GOVERNMENT COLLEGE OF TECHNOLOGY
166,GOVERNMENT COLLEGE OF TECHNOLOGY
167,GOVERNMENT COLLEGE OF TECHNOLOGY
168,GOVERNMENT COLLEGE OF TECHNOLOGY
169,GOVERNMENT COLLEGE OF TECHNOLOGY
170,GOVERNMENT COLLEGE OF TECHNOLOGY
171,SHRI SHANKARACHARYA TECHNICAL CAMPUS
172,SHRI SHANKARACHARYA TECHNICAL CAMPUS
173,SHRI SHANKARACHARYA TECHNICAL CAMPUS
174,MARATHWADA MITRA MANDAL S POLYTECHNIC THERGAON PUNE
175,MARATHWADA MITRA MANDAL S POLYTECHNIC THERGAON PUNE
176,MARATHWADA MITRA MANDAL S POLYTECHNIC THERGAON PUNE
177,CMR ENGINEERING COLLEGE
178,CMR ENGINEERING COLLEGE
179,SRI KRISHNA COLLEGE OF TECHNOLOGY
180,SRI KRISHNA COLLEGE OF TECHNOLOGY
181,SRI KRISHNA COLLEGE OF TECHNOLOGY
182,SRI KRISHNA COLLEGE OF TECHNOLOGY
183,SRI KRISHNA COLLEGE OF TECHNOLOGY
184,SRI KRISHNA COLLEGE OF TECHNOLOGY
185,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN
186,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN
187,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN
188,GOVERNMENT POYTECHNIC THANE
189,GOVERNMENT POYTECHNIC THANE
190,VIDYAVARDHINI INSTITUTE OF TECHNOLOGY
191,VIDYAVARDHINI INSTITUTE OF TECHNOLOGY
192,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY
193,GOVERNMENT POLYTECHNIC FOR WOMEN
194,GOVERNMENT POLYTECHNIC FOR WOMEN
195,DON BOSCO COLLEGE OF ENGINEERING
196,DON BOSCO COLLEGE OF ENGINEERING
197,DON BOSCO COLLEGE OF ENGINEERING
198,SHRI VATAVRUKSHA SWAMI MAHARAJ DEVASTHAN S KAI KALYANRAO BALASAHEB INGALE POLYTECHNIC COLLEGE
199,SHRI VATAVRUKSHA SWAMI MAHARAJ DEVASTHAN S KAI KALYANRAO BALASAHEB INGALE POLYTECHNIC COLLEGE
200,SHRI VATAVRUKSHA SWAMI MAHARAJ DEVASTHAN S KAI KALYANRAO BALASAHEB INGALE POLYTECHNIC COLLEGE
201,SHRI VATAVRUKSHA SWAMI MAHARAJ DEVASTHAN S KAI KALYANRAO BALASAHEB INGALE POLYTECHNIC COLLEGE
202,THIAGARAJAR COLLEGE OF ENGINEERING
203,THIAGARAJAR COLLEGE OF ENGINEERING
204,THIAGARAJAR COLLEGE OF ENGINEERING
205,THIAGARAJAR COLLEGE OF ENGINEERING
206,THIAGARAJAR COLLEGE OF ENGINEERING
207,THIAGARAJAR COLLEGE OF ENGINEERING
208,THIAGARAJAR COLLEGE OF ENGINEERING
209,GOVERNMENT COLLEGE OF ENGINEERING SALEM
210,GOVERNMENT COLLEGE OF ENGINEERING SALEM
211,GOVERNMENT COLLEGE OF ENGINEERING SALEM
212,GOVERNMENT COLLEGE OF ENGINEERING SALEM
213,B K BIRLA INSTITUTE OF ENGINEERING AND TECHNOLOGY
214,ST XAVIER S CATHOLIC COLLEGE OF ENGINEERING
215,ST XAVIER S CATHOLIC COLLEGE OF ENGINEERING
216,ST XAVIER S CATHOLIC COLLEGE OF ENGINEERING
217,ST XAVIER S CATHOLIC COLLEGE OF ENGINEERING
218,ST XAVIER S CATHOLIC COLLEGE OF ENGINEERING
219,ST XAVIER S CATHOLIC COLLEGE OF ENGINEERING
220,E G S PILLAY ENGINEERING COLLEGE
221,E G S PILLAY ENGINEERING COLLEGE
222,E G S PILLAY ENGINEERING COLLEGE
223,NALLA NARASIMHA REDDY EDUCATION SOCIETY S GROUP OF INSTITUTIONS
224,NALLA NARASIMHA REDDY EDUCATION SOCIETY S GROUP OF INSTITUTIONS
225,RAJARAJESWARI COLLEGE OF ENGINEERING
226,RAJARAJESWARI COLLEGE OF ENGINEERING
227,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
228,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
229,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
230,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
231,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
232,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
233,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
234,SRI MANAKULA VINAYAGAR ENGINEERING COLLEGE
235,SRI MANAKULA VINAYAGAR ENGINEERING COLLEGE
236,SRI MANAKULA VINAYAGAR ENGINEERING COLLEGE
237,SRI MANAKULA VINAYAGAR ENGINEERING COLLEGE
238,SRI MANAKULA VINAYAGAR ENGINEERING COLLEGE
239,SRI MANAKULA VINAYAGAR ENGINEERING COLLEGE
240,SRI MANAKULA VINAYAGAR ENGINEERING COLLEGE
241,KMCT INSTITUTE OF TECHNOLOGY AND MANAGEMENT
242,KMCT INSTITUTE OF TECHNOLOGY AND MANAGEMENT
243,XLRI - XAVIER SCHOOL OF MANAGEMENT
244,XLRI - XAVIER SCHOOL OF MANAGEMENT
245,KONGU ENGINEERING COLLEGE
246,KONGU ENGINEERING COLLEGE
247,KONGU ENGINEERING COLLEGE
248,KONGU ENGINEERING COLLEGE
249,KONGU ENGINEERING COLLEGE
250,KONGU ENGINEERING COLLEGE
251,KONGU ENGINEERING COLLEGE
252,KONGU ENGINEERING COLLEGE
253,KONGU ENGINEERING COLLEGE
254,KONGU ENGINEERING COLLEGE
255,KONGU ENGINEERING COLLEGE
256,KONGU ENGINEERING COLLEGE
257,BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY
258,BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY
259,VARDHAMAN COLLEGE OF ENGINEERING
260,VARDHAMAN COLLEGE OF ENGINEERING
261,VARDHAMAN COLLEGE OF ENGINEERING
262,VARDHAMAN COLLEGE OF ENGINEERING
263,VARDHAMAN COLLEGE OF ENGINEERING
264,VARDHAMAN COLLEGE OF ENGINEERING
265,VARDHAMAN COLLEGE OF ENGINEERING
266,ST JOSEPH S INSTITUTE OF MANAGEMENT
267,RCC INSTITUTE OF INFORMATION TECHNOLOGY
268,RCC INSTITUTE OF INFORMATION TECHNOLOGY
269,RCC INSTITUTE OF INFORMATION TECHNOLOGY
270,RCC INSTITUTE OF INFORMATION TECHNOLOGY
271,PSG POLYTECHNIC COLLEGE
272,PSG POLYTECHNIC COLLEGE
273,PSG POLYTECHNIC COLLEGE
274,PSG POLYTECHNIC COLLEGE
275,PSG POLYTECHNIC COLLEGE
276,PSG POLYTECHNIC COLLEGE
277,PSG POLYTECHNIC COLLEGE
278,PSG POLYTECHNIC COLLEGE
279,PSG POLYTECHNIC COLLEGE
280,INSTITUTE OF ENGINEERING AND TECHNOLOGY
281,INSTITUTE OF ENGINEERING AND TECHNOLOGY
282,INSTITUTE OF ENGINEERING AND TECHNOLOGY
283,INSTITUTE OF ENGINEERING AND TECHNOLOGY
284,INSTITUTE OF ENGINEERING AND TECHNOLOGY
285,V S B COLLEGE OF ENGINEERING TECHNICAL CAMPUS
286,V S B COLLEGE OF ENGINEERING TECHNICAL CAMPUS
287,V S B COLLEGE OF ENGINEERING TECHNICAL CAMPUS
288,V S B COLLEGE OF ENGINEERING TECHNICAL CAMPUS
289,MANIPAL INSTITUTE OF TECHNOLOGY
290,MANIPAL INSTITUTE OF TECHNOLOGY
291,MANIPAL INSTITUTE OF TECHNOLOGY
292,MANIPAL INSTITUTE OF TECHNOLOGY
293,MANIPAL INSTITUTE OF TECHNOLOGY
294,MANIPAL INSTITUTE OF TECHNOLOGY
295,MANIPAL INSTITUTE OF TECHNOLOGY
296,MANIPAL INSTITUTE OF TECHNOLOGY
297,MANIPAL INSTITUTE OF TECHNOLOGY
298,MANIPAL INSTITUTE OF TECHNOLOGY
299,MANIPAL INSTITUTE OF TECHNOLOGY
300,MANIPAL INSTITUTE OF TECHNOLOGY
301,MANIPAL INSTITUTE OF TECHNOLOGY
302,MANIPAL INSTITUTE OF TECHNOLOGY
303,MANIPAL INSTITUTE OF TECHNOLOGY
304,MANIPAL INSTITUTE OF TECHNOLOGY
305,MANIPAL INSTITUTE OF TECHNOLOGY
306,MANIPAL INSTITUTE OF TECHNOLOGY
307,TEZPUR UNIVERSITY
308,TEZPUR UNIVERSITY
309,TEZPUR UNIVERSITY
310,TEZPUR UNIVERSITY
311,TEZPUR UNIVERSITY
312,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY S INSTITUTE OF INFORMATION TECHNOLOGY
313,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY S INSTITUTE OF INFORMATION TECHNOLOGY
314,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY S INSTITUTE OF INFORMATION TECHNOLOGY
315,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY S INSTITUTE OF INFORMATION TECHNOLOGY
316,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY S INSTITUTE OF INFORMATION TECHNOLOGY
317,EINSTEIN ACADEMY OF TECHNOLOGY AND MANAGEMENT
318,EINSTEIN ACADEMY OF TECHNOLOGY AND MANAGEMENT
319,VEMANA INSTITUTE OF TECHNOLOGY
320,VEMANA INSTITUTE OF TECHNOLOGY
321,VEMANA INSTITUTE OF TECHNOLOGY
322,VEMANA INSTITUTE OF TECHNOLOGY
323,SREE VENKATESWARA COLLEGE OF ENGINEERING
324,SREE VENKATESWARA COLLEGE OF ENGINEERING
325,SREE VENKATESWARA COLLEGE OF ENGINEERING
326,SREE VENKATESWARA COLLEGE OF ENGINEERING
327,WALCHAND INSTITUTE OF TECHNOLOGY
328,WALCHAND INSTITUTE OF TECHNOLOGY
329,WALCHAND INSTITUTE OF TECHNOLOGY
330,WALCHAND INSTITUTE OF TECHNOLOGY
331,JYOTHI ENGINEERING COLLEGE
332,JYOTHI ENGINEERING COLLEGE
333,JYOTHI ENGINEERING COLLEGE
334,JYOTHI ENGINEERING COLLEGE
335,JYOTHI ENGINEERING COLLEGE
336,JYOTHI ENGINEERING COLLEGE
337,VIDYA VIKAS INSTITUTE OF ENGINEERING TECHNOLOGY
338,VIDYA VIKAS INSTITUTE OF ENGINEERING TECHNOLOGY
339,VIDYA VIKAS INSTITUTE OF ENGINEERING TECHNOLOGY
340,VIDYA VIKAS INSTITUTE OF ENGINEERING TECHNOLOGY
341,M KUMARASAMY COLLEGE OF ENGINEERING
342,M KUMARASAMY COLLEGE OF ENGINEERING
343,M KUMARASAMY COLLEGE OF ENGINEERING
344,M KUMARASAMY COLLEGE OF ENGINEERING
345,SHRI RAMSWAROOP MEMORIAL COLLEGE OF ENGINEERING AND MANAGEMENT
346,SHRI RAMSWAROOP MEMORIAL COLLEGE OF ENGINEERING AND MANAGEMENT
347,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
348,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
349,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
350,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
351,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
352,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
353,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
354,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES
355,SHAH AND ANCHOR KUTCHHI ENGINEERING COLLEGE
356,SHAH AND ANCHOR KUTCHHI ENGINEERING COLLEGE
357,PIMPRI CHINCHWAD POLYTECHNIC
358,PIMPRI CHINCHWAD POLYTECHNIC
359,PIMPRI CHINCHWAD POLYTECHNIC
360,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
361,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
362,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
363,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
364,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
365,MADAN MOHAN MALAVIYA UNIVERSITY OF TECHNOLOGY
366,ASANSOL ENGINEERING COLLEGE
367,ASANSOL ENGINEERING COLLEGE
368,ASANSOL ENGINEERING COLLEGE
